name,country,primary_fuel,commissioning_year,extracted_gdp
Paiol,BRA,Hydro,2010,2208838108593.19
Pajeú do Vento,BRA,Wind,2014,2456043766063.5
Palanquinho,BRA,Hydro,2010,2208838108593.19
Palmeiras,BRA,Hydro,1963,23287712878.2002
Palmeiras,BRA,Hydro,2012,2465228293862.62
Palmeiras de Goiás,BRA,Oil,2012,2465228293862.62
Pamesa,BRA,Gas,2005,891633826582.606
Pampeana,BRA,Hydro,2009,1666996294324.76
Panorâmica,BRA,Biomass,1995,769333330439.52
Paracambi,BRA,Hydro,2012,2465228293862.62
Paraibuna,BRA,Hydro,1978,200278646123.581
Paranapanema,BRA,Biomass,2012,2465228293862.62
Paranatex,BRA,Oil,2014,2456043766063.5
Paranatinga II,BRA,Hydro,2008,1695855391816.48
Paraíso I,BRA,Hydro,2004,669289321953.683
Pardo,BRA,Hydro,2015,1802211999555.59
Pardos,BRA,Hydro,2013,2472819362259.0
Parecis,BRA,Hydro,2011,2616156606734.51
Parintins,BRA,Oil,1983,189656506321.431
Parnaíba IV,BRA,Gas,2013,2472819362259.0
Parque Eólico Cabeço Preto,BRA,Wind,2012,2465228293862.62
Parque Eólico Cabeço Preto III,BRA,Wind,2016,1795693265824.27
Parque Eólico Cabeço Preto IV,BRA,Wind,2012,2465228293862.62
Parque Eólico Cabeço Preto V,BRA,Wind,2016,1795693265824.27
Parque Eólico Cabeço Preto VI,BRA,Wind,2016,1795693265824.27
Parque Eólico Elebrás Cidreira 1,BRA,Wind,2011,2616156606734.51
Parque Eólico Sangradouro,BRA,Wind,2006,1107626711436.44
Parque Eólico de Beberibe,BRA,Wind,2008,1695855391816.48
Parque Eólico de Osório,BRA,Wind,2006,1107626711436.44
Parque Eólico de Palmares,BRA,Wind,2010,2208838108593.19
Parque Eólico do Horizonte,BRA,Wind,2004,669289321953.683
Parque Eólico dos Índios,BRA,Wind,2006,1107626711436.44
Parque Eólico dos Índios 2,BRA,Wind,2014,2456043766063.5
Parque Eólico dos Índios 3,BRA,Wind,2014,2456043766063.5
Passa Tempo,BRA,Biomass,2001,559983704075.658
Passo Ferraz,BRA,Hydro,2011,2616156606734.51
Passo Fundo,BRA,Hydro,1973,83592275862.9982
Passo Real,BRA,Hydro,1973,83592275862.9982
Passo São João,BRA,Hydro,2012,2465228293862.62
Passo do Meio,BRA,Hydro,2003,558233724160.742
Passos,BRA,Biomass,2008,1695855391816.48
Pau D´Alho,BRA,Biomass,2006,1107626711436.44
Pau Ferro,BRA,Wind,2015,1802211999555.59
Pau Ferro I,BRA,Oil,2009,1666996294324.76
Paulicéia,BRA,Biomass,2013,2472819362259.0
Paulo Afonso I,BRA,Hydro,1964,20963733694.9749
Paulo Afonso II,BRA,Hydro,1961,17275940449.3837
Paulo Afonso III,BRA,Hydro,1971,48869830901.7878
Paulo Afonso IV,BRA,Hydro,1979,221338204480.222
Paulo Mascarenhas,BRA,Hydro,1977,176344101401.941
Paísa,BRA,Biomass,1980,237393489892.637
Pederneiras,BRA,Biomass,2000,655448188246.11
Pedra,BRA,Hydro,1978,200278646123.581
Pedra Branca,BRA,Wind,2013,2472819362259.0
Pedra Furada,BRA,Hydro,2012,2465228293862.62
Pedra Preta,BRA,Wind,2014,2456043766063.5
Pedra do Cavalo,BRA,Hydro,2004,669289321953.683
Pedra do Garrafão,BRA,Hydro,2009,1666996294324.76
Pedra do Gerônimo,BRA,Wind,2015,1802211999555.59
Pedra do Reino,BRA,Wind,2013,2472819362259.0
Pedra do Reino III,BRA,Wind,2013,2472819362259.0
Pedra do Sal,BRA,Wind,2008,1695855391816.48
Pedrinho I,BRA,Hydro,2003,558233724160.742
Pedro Afonso,BRA,Biomass,2013,2472819362259.0
Peixe,BRA,Hydro,2011,2616156606734.51
Peixe Angical,BRA,Hydro,2006,1107626711436.44
Peixoto Gonçalves,BRA,Oil,2007,1397114247287.58
Pelado,BRA,Wind,2016,1795693265824.27
Pelourinho,BRA,Wind,2016,1795693265824.27
Pequi,BRA,Hydro,2008,1695855391816.48
Pereira Passos,BRA,Hydro,1962,19231747851.5332
Pernambuco III,BRA,Oil,2013,2472819362259.0
Pery,BRA,Hydro,2013,2472819362259.0
Peróxidos do Brasil,BRA,Oil,2012,2465228293862.62
Pesqueiro,BRA,Hydro,2003,558233724160.742
Petribu,BRA,Biomass,1970,42327664793.6934
Petrocoque,BRA,Oil,2016,1795693265824.27
Petrolina,BRA,Oil,2002,509795270707.268
Petroquimicasuape,BRA,Oil,2015,1802211999555.59
Pezzi,BRA,Hydro,2012,2465228293862.62
Picada,BRA,Hydro,2006,1107626711436.44
Picada 48,BRA,Hydro,2012,2465228293862.62
Piedade,BRA,Hydro,2010,2208838108593.19
Pilões,BRA,Wind,2015,1802211999555.59
Pindaí,BRA,Wind,2014,2456043766063.5
Pinho Fleck,BRA,Hydro,1972,58434858374.8696
Pioneiros,BRA,Biomass,2006,1107626711436.44
Pioneiros II,BRA,Biomass,2013,2472819362259.0
Pipoca,BRA,Hydro,2010,2208838108593.19
Pirajú,BRA,Hydro,2002,509795270707.268
Piranhas,BRA,Hydro,2006,1107626711436.44
Pirapama,BRA,Biomass,2008,1695855391816.48
Pirapanema,BRA,Hydro,2013,2472819362259.0
Pirapetinga,BRA,Hydro,2009,1666996294324.76
Pirapora,BRA,Hydro,2014,2456043766063.5
Pirauá,BRA,Wind,2010,2208838108593.19
Piraí,BRA,Biomass,2006,1107626711436.44
Pirelli Campinas,BRA,Oil,2015,1802211999555.59
Pirelli Santo André,BRA,Oil,2015,1802211999555.59
Pitangas,BRA,Hydro,2015,1802211999555.59
Pitinga,BRA,Hydro,1986,256480852471.129
Pito,BRA,Hydro,2015,1802211999555.59
Planaltina,BRA,Wind,2014,2456043766063.5
Planalto,BRA,Hydro,2009,1666996294324.76
Plano Alto,BRA,Hydro,2008,1695855391816.48
Plaza Macaé,BRA,Oil,2011,2616156606734.51
Pontal 2 A,BRA,Wind,2016,1795693265824.27
Pontal 2 B,BRA,Wind,2015,1802211999555.59
Pontal 3 B,BRA,Wind,2017,2063514688761.67
Pontal do Prata,BRA,Hydro,2012,2465228293862.62
Ponte Alta,BRA,Hydro,2007,1397114247287.58
Ponte de Pedra,BRA,Hydro,2005,891633826582.606
Porto Alegre,BRA,Biomass,2005,891633826582.606
Porto Alegre do Norte,BRA,Oil,2006,1107626711436.44
Porto Colômbia,BRA,Hydro,1973,83592275862.9982
Porto Estrela,BRA,Hydro,2001,559983704075.658
Porto Franco,BRA,Hydro,2009,1666996294324.76
Porto Primavera (Eng° Sérgio Motta),BRA,Hydro,1999,599642075039.049
Porto Raso,BRA,Hydro,1982,271314113768.417
Porto Salgado,BRA,Wind,2014,2456043766063.5
Porto Seguro,BRA,Wind,2014,2456043766063.5
Porto Walter  BBF Acre,BRA,Oil,2016,1795693265824.27
Porto das Barcas,BRA,Wind,2014,2456043766063.5
Porto das Pedras,BRA,Hydro,2008,1695855391816.48
Porto das Águas,BRA,Biomass,2011,2616156606734.51
Porto do Delta,BRA,Wind,2016,1795693265824.27
Porto do Itaqui (Antiga Termomaranhão),BRA,Coal,2013,2472819362259.0
Porto do Pecém II,BRA,Coal,2013,2472819362259.0
Potiguar,BRA,Oil,2009,1666996294324.76
Potiguar III,BRA,Oil,2009,1666996294324.76
Potirendaba (Antiga Cerradinho Potirendaba),BRA,Biomass,2008,1695855391816.48
Praia Formosa,BRA,Wind,2009,1666996294324.76
Praia do Morgado,BRA,Wind,2010,2208838108593.19
Prata,BRA,Hydro,2011,2616156606734.51
Pratudão,BRA,Hydro,2000,655448188246.11
Precon Minas Gerais PL,BRA,Oil,2010,2208838108593.19
Presidente,BRA,Wind,2009,1666996294324.76
Presidente Médici  A  B,BRA,Coal,1974,109794519727.538
Primavera,BRA,Hydro,2007,1397114247287.58
Primavera do Leste,BRA,Biomass,2009,1666996294324.76
Promissão (Mário Lopes Leão),BRA,Hydro,1975,129203555238.827
Pátio Cianê Shopping,BRA,Oil,2013,2472819362259.0
Púlpito,BRA,Wind,2011,2616156606734.51
QUÍMICA AMPARO SALTO,BRA,Oil,2015,1802211999555.59
QUÍMICA AMPARO SIMÕES FILHO FÁBRICA,BRA,Oil,2015,1802211999555.59
Quebra Queixo,BRA,Hydro,2003,558233724160.742
Queimado,BRA,Hydro,2004,669289321953.683
Queixada,BRA,Hydro,2012,2465228293862.62
Queluz,BRA,Hydro,2011,2616156606734.51
Quirinópolis,BRA,Biomass,2007,1397114247287.58
Quixaba,BRA,Wind,2012,2465228293862.62
R & F Energia,BRA,Hydro,2016,1795693265824.27
RCE-AM,BRA,Oil,1991,407729053018.907
RCE-BV,BRA,Oil,2011,2616156606734.51
REB Cassino I,BRA,Wind,2015,1802211999555.59
REB Cassino II,BRA,Wind,2015,1802211999555.59
REB Cassino III,BRA,Wind,2015,1802211999555.59
REC POUSO ALEGRE SA,BRA,Oil,2013,2472819362259.0
RELEVOS,BRA,Oil,2010,2208838108593.19
RIO ANIL SHOPPING,BRA,Oil,2010,2208838108593.19
RJO-AM,BRA,Oil,2011,2616156606734.51
RJR,BRA,Gas,2014,2456043766063.5
RN 15 - Rio do Fogo,BRA,Wind,2006,1107626711436.44
RS-155,BRA,Hydro,2012,2465228293862.62
Rafitec Geração Diesel fab 01,BRA,Oil,2015,1802211999555.59
Rastro de Auto,BRA,Hydro,2013,2472819362259.0
Rações Patense - Itaúna,BRA,Biomass,2015,1802211999555.59
Recreio Shopping Center,BRA,Oil,2009,1666996294324.76
Refinaria Duque de Caxias - REDUC,BRA,Gas,1976,153168949208.207
Refinaria Henrique Lages (REVAP),BRA,Oil,1980,237393489892.637
Refinaria de Paulínea - REPLAN,BRA,Oil,1976,153168949208.207
Refrigerantes do Triângulo,BRA,Oil,2012,2465228293862.62
Rei dos Ventos 1,BRA,Wind,2014,2456043766063.5
Rei dos Ventos 3,BRA,Wind,2014,2456043766063.5
Renascença I,BRA,Wind,2014,2456043766063.5
Renascença II,BRA,Wind,2014,2456043766063.5
Renascença III,BRA,Wind,2014,2456043766063.5
Renascença IV,BRA,Wind,2014,2456043766063.5
Renascença V,BRA,Wind,2015,1802211999555.59
Renosa,BRA,Oil,2009,1666996294324.76
Retiro,BRA,Hydro,2014,2456043766063.5
Retiro Baixo,BRA,Hydro,2010,2208838108593.19
Retiro Velho,BRA,Hydro,2009,1666996294324.76
Rhodia Poliamida e Especialidades,BRA,Oil,2015,1802211999555.59
Riacho Preto,BRA,Hydro,2008,1695855391816.48
Riachão (Antiga Santa Edwiges I),BRA,Hydro,2006,1107626711436.44
Riachão I,BRA,Wind,2015,1802211999555.59
Riachão II,BRA,Wind,2015,1802211999555.59
Riachão IV,BRA,Wind,2015,1802211999555.59
Riachão VI,BRA,Wind,2015,1802211999555.59
Riachão VII,BRA,Wind,2015,1802211999555.59
Ribeirão,BRA,Wind,2014,2456043766063.5
Rickli,BRA,Biomass,2015,1802211999555.59
Rieger Agropecuária,BRA,Hydro,1987,283056836893.838
Rigesa,BRA,Biomass,2009,1666996294324.76
Rio Branco,BRA,Hydro,2004,669289321953.683
Rio Branco II,BRA,Oil,1980,237393489892.637
Rio Fortuna,BRA,Hydro,2012,2465228293862.62
Rio Itaiozinho,BRA,Hydro,2005,891633826582.606
Rio Madeira,BRA,Oil,1988,307881930752.268
Rio Mato,BRA,Hydro,2014,2456043766063.5
Rio Pardo,BRA,Biomass,2009,1666996294324.76
Rio Prata,BRA,Hydro,1994,546229749726.263
Rio Preto da Eva,BRA,Oil,2004,669289321953.683
Rio Suspiro,BRA,Hydro,2010,2208838108593.19
Rio São Marcos,BRA,Hydro,2004,669289321953.683
Rio Tigre,BRA,Hydro,1964,20963733694.9749
Rio Verde,BRA,Wind,2014,2456043766063.5
Rio Vermelho,BRA,Biomass,2014,2456043766063.5
Rio Vermelho 2,BRA,Biomass,2014,2456043766063.5
Rio do Ouro,BRA,Wind,2011,2616156606734.51
Rio do Poncho I,BRA,Hydro,1994,546229749726.263
Rio do Sapo,BRA,Hydro,2016,1795693265824.27
Rio dos Índios,BRA,Hydro,2013,2472819362259.0
Ripasa,BRA,Biomass,1974,109794519727.538
Risoleta Neves (Antiga Candonga),BRA,Hydro,2004,669289321953.683
Rodeio Bonito,BRA,Hydro,2009,1666996294324.76
Rondinha,BRA,Hydro,2014,2456043766063.5
Rondolândia,BRA,Oil,2001,559983704075.658
Rondon,BRA,Hydro,2011,2616156606734.51
Rondon II,BRA,Hydro,2011,2616156606734.51
Rondonópolis,BRA,Hydro,2007,1397114247287.58
Rorainópolis,BRA,Oil,2002,509795270707.268
Rosa S.A. Indústria e Comércio de Produtos Agrícolas,BRA,Biomass,1989,412990820287.42
Rosal,BRA,Hydro,2000,655448188246.11
Rosana,BRA,Hydro,1987,283056836893.838
Rovema Bandeirantes,BRA,Oil,2008,1695855391816.48
Rovema-Triunfo,BRA,Oil,2007,1397114247287.58
Royal Palm Plaza,BRA,Oil,2000,655448188246.11
Ruette,BRA,Biomass,2006,1107626711436.44
Rádio e Televisão Bandeirante,BRA,Oil,2007,1397114247287.58
Rádio e Televisão Record,BRA,Oil,1997,883206452832.811
Rênic,BRA,Hydro,2016,1795693265824.27
Rômulo Almeida Unidade I (Antiga Usina de Cogeração Camaçari - FAFEN Energia),BRA,Gas,2003,558233724160.742
SDR-RC,BRA,Oil,1976,153168949208.207
SEDAL E1,BRA,Oil,2000,655448188246.11
SHOPPING CASTANHEIRA,BRA,Oil,2012,2465228293862.62
SHOPPING CENTER IGUATEMI CAXIAS,BRA,Oil,2008,1695855391816.48
SHOPPING ESTAÇÃO,BRA,Oil,2009,1666996294324.76
SHOPPING ESTAÇÃO OFFICE,BRA,Oil,2004,669289321953.683
SHOPPING MANAUS VIA NORTE,BRA,Oil,2014,2456043766063.5
SHOPPING PARALELA,BRA,Oil,2009,1666996294324.76
SHOPPING PATIO RORAIMA,BRA,Oil,2014,2456043766063.5
SHOPPING VIA BRASIL,BRA,Oil,2012,2465228293862.62
SIDERMAUA,BRA,Oil,2013,2472819362259.0
SM,BRA,Wind,2015,1802211999555.59
SOCIMOL,BRA,Oil,2007,1397114247287.58
SPAIPA,BRA,Oil,2011,2616156606734.51
SPO-IG,BRA,Oil,2012,2465228293862.62
SVA,BRA,Biomass,2008,1695855391816.48
Sabarálcool,BRA,Biomass,2001,559983704075.658
Sabe Alimentos,BRA,Oil,2012,2465228293862.62
Sacre 2,BRA,Hydro,2006,1107626711436.44
Safi,BRA,Biomass,2007,1397114247287.58
Saldanha,BRA,Hydro,2006,1107626711436.44
Salesópolis,BRA,Hydro,2008,1695855391816.48
Salgado,BRA,Biomass,1973,83592275862.9982
Salto,BRA,Hydro,2010,2208838108593.19
Salto,BRA,Wind,2011,2616156606734.51
Salto,BRA,Hydro,2007,1397114247287.58
Salto,BRA,Hydro,2014,2456043766063.5
Salto (Antiga Eucatex),BRA,Gas,2001,559983704075.658
Salto Apiacás,BRA,Hydro,2016,1795693265824.27
Salto Bandeirantes,BRA,Hydro,2016,1795693265824.27
Salto Buriti,BRA,Hydro,2008,1695855391816.48
Salto Corgão,BRA,Hydro,2005,891633826582.606
Salto Curucaca,BRA,Hydro,2016,1795693265824.27
Salto Curuá,BRA,Hydro,2008,1695855391816.48
Salto Donner I,BRA,Hydro,2007,1397114247287.58
Salto Donner II,BRA,Hydro,2012,2465228293862.62
Salto Forqueta,BRA,Hydro,2003,558233724160.742
Salto Góes,BRA,Hydro,2012,2465228293862.62
Salto Natal,BRA,Hydro,2003,558233724160.742
Salto Osório,BRA,Hydro,1975,129203555238.827
Salto Pilão,BRA,Hydro,2009,1666996294324.76
Salto Santiago,BRA,Hydro,1980,237393489892.637
Salto Três de Maio,BRA,Hydro,2010,2208838108593.19
Salto Voltão,BRA,Hydro,2001,559983704075.658
Salto das Flores,BRA,Hydro,2011,2616156606734.51
Salto do Iporanga,BRA,Hydro,1989,412990820287.42
Salto do Jardim,BRA,Hydro,1966,28283323733.1114
Salto do Passo Velho,BRA,Hydro,2001,559983704075.658
Salto do Rio Verdinho,BRA,Hydro,2010,2208838108593.19
Salvador,BRA,Waste,2010,2208838108593.19
Samuel,BRA,Hydro,1989,412990820287.42
Sangradouro 2,BRA,Wind,2012,2465228293862.62
Sangradouro 3,BRA,Wind,2012,2465228293862.62
Sansuy,BRA,Oil,2011,2616156606734.51
Santa Adélia,BRA,Biomass,2002,509795270707.268
Santa Adélia,BRA,Hydro,2006,1107626711436.44
Santa Ana,BRA,Hydro,2010,2208838108593.19
Santa Branca,BRA,Hydro,1999,599642075039.049
Santa Bárbara,BRA,Hydro,2013,2472819362259.0
Santa Carolina,BRA,Hydro,2016,1795693265824.27
Santa Cecília,BRA,Hydro,2016,1795693265824.27
Santa Clara,BRA,Hydro,2002,509795270707.268
Santa Clara,BRA,Hydro,2005,891633826582.606
Santa Clara I,BRA,Hydro,2005,891633826582.606
Santa Clara I,BRA,Wind,2014,2456043766063.5
Santa Clara II,BRA,Wind,2014,2456043766063.5
Santa Clara III,BRA,Wind,2014,2456043766063.5
Santa Clara IV,BRA,Wind,2014,2456043766063.5
Santa Clara V,BRA,Wind,2014,2456043766063.5
Santa Clara VI,BRA,Wind,2014,2456043766063.5
Santa Cruz AB (Antiga Ometto),BRA,Biomass,2009,1666996294324.76
Santa Cruz de Monte Negro,BRA,Hydro,2014,2456043766063.5
Santa Cândida I,BRA,Biomass,2002,509795270707.268
Santa Cândida II,BRA,Biomass,2016,1795693265824.27
Santa Edwiges II,BRA,Hydro,2006,1107626711436.44
Santa Edwiges III,BRA,Hydro,2009,1666996294324.76
Santa Elisa - Unidade I,BRA,Biomass,2002,509795270707.268
Santa Elisa - Unidade II,BRA,Biomass,2002,509795270707.268
Santa Fé,BRA,Oil,2012,2465228293862.62
Santa Fé,BRA,Biomass,1976,153168949208.207
Santa Fé I,BRA,Hydro,2008,1695855391816.48
Santa Gabriela,BRA,Hydro,2009,1666996294324.76
Santa Helena,BRA,Hydro,2014,2456043766063.5
Santa Helena,BRA,Biomass,2011,2616156606734.51
Santa Helena,BRA,Wind,2015,1802211999555.59
Santa Helena,BRA,Biomass,1990,464989098144.854
Santa Isabel,BRA,Biomass,1980,237393489892.637
Santa Izabel,BRA,Hydro,2009,1666996294324.76
Santa Juliana,BRA,Biomass,2010,2208838108593.19
Santa Laura,BRA,Hydro,2007,1397114247287.58
Santa Luzia Alto,BRA,Hydro,2011,2616156606734.51
Santa Luzia I,BRA,Biomass,2010,2208838108593.19
Santa Lúcia II,BRA,Hydro,2003,558233724160.742
Santa Maria,BRA,Hydro,1999,599642075039.049
Santa Maria,BRA,Biomass,2009,1666996294324.76
Santa Maria,BRA,Wind,2010,2208838108593.19
Santa Maria Açucareira,BRA,Biomass,2002,509795270707.268
Santa Mônica,BRA,Wind,2016,1795693265824.27
Santa Mônica I,BRA,Wind,2016,1795693265824.27
Santa Rosa,BRA,Hydro,2013,2472819362259.0
Santa Rosa,BRA,Biomass,1987,283056836893.838
Santa Rosa II,BRA,Hydro,2008,1695855391816.48
Santa Rosa do Purus  BBF Acre,BRA,Oil,2016,1795693265824.27
Santa Terezinha,BRA,Hydro,2009,1666996294324.76
Santa Terezinha,BRA,Biomass,2006,1107626711436.44
Santa Terezinha (Ivaté),BRA,Biomass,2009,1666996294324.76
Santa Terezinha Paranacity,BRA,Biomass,2009,1666996294324.76
Santa Vitória,BRA,Biomass,2015,1802211999555.59
Santa Úrsula,BRA,Wind,2016,1795693265824.27
Santana,BRA,Oil,1993,438299504463.02
Santana I,BRA,Wind,2016,1795693265824.27
Santana I,BRA,Hydro,2012,2465228293862.62
Santana II,BRA,Wind,2016,1795693265824.27
Santarém,BRA,Oil,2014,2456043766063.5
Santo Antônio,BRA,Hydro,2012,2465228293862.62
Santo Antônio,BRA,Wind,2011,2616156606734.51
Santo Antônio,BRA,Hydro,2005,891633826582.606
Santo Antônio,BRA,Biomass,1990,464989098144.854
Santo Antônio,BRA,Hydro,2012,2465228293862.62
Santo Antônio de Pádua,BRA,Wind,2014,2456043766063.5
Santo Antônio do Caiapó,BRA,Hydro,2012,2465228293862.62
Santo Antônio do Içá,BRA,Oil,2002,509795270707.268
Santo Antônio do Jari,BRA,Hydro,2014,2456043766063.5
Sapezal,BRA,Hydro,2011,2616156606734.51
Seabra,BRA,Wind,2012,2465228293862.62
Sede 1,BRA,Oil,2009,1666996294324.76
Segredo,BRA,Hydro,2013,2472819362259.0
Selecta,BRA,Biomass,2011,2616156606734.51
Senado Federal,BRA,Oil,1999,599642075039.049
Senador Arnon Afonso  Farias de Mello (Floresta),BRA,Oil,1990,464989098144.854
Senador Jonas Pinheiro (Caeté),BRA,Hydro,2006,1107626711436.44
Sepé Tiaraju (Antiga Canoas),BRA,Gas,2001,559983704075.658
Seraíma,BRA,Wind,2014,2456043766063.5
Seresta,BRA,Biomass,2004,669289321953.683
Serra,BRA,Hydro,2011,2616156606734.51
Serra Grande,BRA,Biomass,2001,559983704075.658
Serra da Mesa,BRA,Hydro,1998,863711007338.683
Serra das Agulhas,BRA,Hydro,2017,2063514688761.67
Serra das Vacas I,BRA,Wind,2015,1802211999555.59
Serra das Vacas II,BRA,Wind,2015,1802211999555.59
Serra das Vacas III,BRA,Wind,2015,1802211999555.59
Serra das Vacas IV,BRA,Wind,2015,1802211999555.59
Serra de Santana I,BRA,Wind,2016,1795693265824.27
Serra de Santana II,BRA,Wind,2016,1795693265824.27
Serra de Santana III,BRA,Wind,2016,1795693265824.27
Serra do Espinhaço,BRA,Wind,2016,1795693265824.27
Serra do Facão,BRA,Hydro,2010,2208838108593.19
Serra do Navio,BRA,Oil,2008,1695855391816.48
Serra do Salto,BRA,Wind,2014,2456043766063.5
Serra dos Cavalinhos I,BRA,Hydro,2017,2063514688761.67
Serra dos Cavalinhos II,BRA,Hydro,2013,2472819362259.0
Serranópolis,BRA,Biomass,2012,2465228293862.62
Serraria,BRA,Hydro,1978,200278646123.581
Sete Gameleiras,BRA,Wind,2013,2472819362259.0
Sete Quedas Alta,BRA,Hydro,2010,2208838108593.19
Sguário Itapeva,BRA,Biomass,2008,1695855391816.48
Shopping Campo Grande,BRA,Gas,2008,1695855391816.48
Shopping Center Granja Vianna,BRA,Oil,2014,2456043766063.5
Shopping Center Recife Diesel,BRA,Oil,2014,2456043766063.5
Shopping Center Vale,BRA,Gas,2013,2472819362259.0
Shopping Cidade Jardim,BRA,Oil,2011,2616156606734.51
Shopping Guararapes,BRA,Oil,2005,891633826582.606
Shopping Park Europeu,BRA,Oil,2011,2616156606734.51
Shopping Park dos Lagos,BRA,Oil,2013,2472819362259.0
Shopping Porto Velho,BRA,Oil,2013,2472819362259.0
Shopping Taboão,BRA,Gas,2004,669289321953.683
Shopping Tacaruna,BRA,Gas,2009,1666996294324.76
Shopping Villa-Lobos,BRA,Oil,2009,1666996294324.76
Siderpa,BRA,Biomass,2004,669289321953.683
Siderúrgica União,BRA,Biomass,2014,2456043766063.5
Simasa,BRA,Biomass,2003,558233724160.742
Simplício,BRA,Hydro,2013,2472819362259.0
Sistema backup de geração da Estação de Compressão de Campo Grande/MS,BRA,Gas,2012,2465228293862.62
Sistema backup de geração da Estação de Compressão de Capão Bonito/SP,BRA,Gas,2012,2465228293862.62
Sistema backup de geração da Estação de Compressão de Gás Natural de Paulínia/SP,BRA,Gas,2012,2465228293862.62
Sistema backup de geração da Estação de Compressão de Iacanga/SP,BRA,Gas,2012,2465228293862.62
Sistema backup de geração da Estação de Compressão de Mirandópolis/SP,BRA,Gas,2012,2465228293862.62
Sistema backup de geração da Estação de Compressão de Penápolis/SP,BRA,Gas,2012,2465228293862.62
Sistema backup de geração da Estação de Compressão de São Carlos/SP,BRA,Gas,2012,2465228293862.62
Sobradinho,BRA,Hydro,1982,271314113768.417
Sobrado,BRA,Hydro,1994,546229749726.263
Sobragi,BRA,Hydro,1998,863711007338.683
Sociedade de Educação Tiradentes,BRA,Oil,2011,2616156606734.51
Sodre,BRA,Hydro,2013,2472819362259.0
Sol,BRA,Other,2007,1397114247287.58
Sonda - São Bernardo,BRA,Oil,2004,669289321953.683
Sonora,BRA,Biomass,1984,188339974086.58
Souza Cruz Cachoeirinha,BRA,Gas,2003,558233724160.742
Suape II,BRA,Oil,2013,2472819362259.0
Subestação CPD,BRA,Oil,2004,669289321953.683
Sucupira,BRA,Hydro,2008,1695855391816.48
Super Shopping Osasco,BRA,Oil,2005,891633826582.606
Supercenter Tijuca,BRA,Oil,2007,1397114247287.58
Supermercado Mundial,BRA,Oil,2012,2465228293862.62
Suzano,BRA,Gas,1973,83592275862.9982
Suzano Maranhão,BRA,Biomass,2014,2456043766063.5
Suzano Mucuri (Antiga Bahia Sul),BRA,Biomass,1992,390566561752.671
Suíça,BRA,Hydro,1965,22465522884.0988
Sykué I,BRA,Biomass,2010,2208838108593.19
SÃO BERNARDO PLAZA,BRA,Oil,2012,2465228293862.62
São Bernardo,BRA,Hydro,2006,1107626711436.44
São Borja,BRA,Biomass,2011,2616156606734.51
São Cristovão,BRA,Wind,2014,2456043766063.5
São Domingos,BRA,Hydro,1991,407729053018.907
São Domingos,BRA,Biomass,1990,464989098144.854
São Domingos,BRA,Hydro,2013,2472819362259.0
São Domingos,BRA,Wind,2016,1795693265824.27
São Domingos II,BRA,Hydro,2009,1666996294324.76
São Francisco,BRA,Biomass,1986,256480852471.129
São Francisco,BRA,Biomass,1987,283056836893.838
São Francisco,BRA,Hydro,2010,2208838108593.19
São Gonçalo (Antiga Santa Bárbara),BRA,Hydro,2010,2208838108593.19
São Joaquim,BRA,Hydro,2002,509795270707.268
São Joaquim,BRA,Hydro,2011,2616156606734.51
São Joaquim,BRA,Hydro,2008,1695855391816.48
São Jorge,BRA,Wind,2014,2456043766063.5
São Jorge,BRA,Hydro,2014,2456043766063.5
São José,BRA,Hydro,2012,2465228293862.62
São José,BRA,Hydro,2011,2616156606734.51
São José,BRA,Biomass,1994,546229749726.263
São José,BRA,Oil,2008,1695855391816.48
São José Colina,BRA,Biomass,2008,1695855391816.48
São José do Pinheiro,BRA,Biomass,2009,1666996294324.76
São José do Rio Claro,BRA,Oil,2001,559983704075.658
São João,BRA,Hydro,2007,1397114247287.58
São João Biogás,BRA,Waste,2008,1695855391816.48
São João da Boa Vista,BRA,Biomass,1997,883206452832.811
São Judas Tadeu,BRA,Biomass,2009,1666996294324.76
São Lourenço (Antiga Zé Fernando),BRA,Hydro,2009,1666996294324.76
São Luiz,BRA,Biomass,1999,599642075039.049
São Manoel,BRA,Biomass,2001,559983704075.658
São Martinho,BRA,Biomass,1975,129203555238.827
São Martinho Energia,BRA,Biomass,2013,2472819362259.0
São Maurício,BRA,Hydro,2010,2208838108593.19
São Paulo,BRA,Hydro,2012,2465228293862.62
São Pedro,BRA,Hydro,2007,1397114247287.58
São Pedro,BRA,Hydro,2009,1666996294324.76
São Pedro do Lago,BRA,Wind,2013,2472819362259.0
São Salvador,BRA,Hydro,2009,1666996294324.76
São Sebastião,BRA,Hydro,2012,2465228293862.62
São Sebastião,BRA,Hydro,2012,2465228293862.62
São Sebastião do Alto,BRA,Hydro,2011,2616156606734.51
São Simão,BRA,Hydro,2009,1666996294324.76
São Simão,BRA,Biomass,2008,1695855391816.48
São Simão,BRA,Hydro,1978,200278646123.581
São Tadeu I,BRA,Hydro,2010,2208838108593.19
São Tomé,BRA,Biomass,2004,669289321953.683
São Valentim,BRA,Hydro,2013,2472819362259.0
São Valentim,BRA,Hydro,2009,1666996294324.76
Síncrotron,BRA,Oil,2001,559983704075.658
Sítio Grande,BRA,Hydro,2010,2208838108593.19
TANG-BR,BRA,Oil,1998,863711007338.683
TERESINA SHOPPING CONDOMÍNIO,BRA,Oil,2012,2465228293862.62
TEXTIL CRISTINA,BRA,Oil,2011,2616156606734.51
